electrode_id,x_um,y_um,rms_uV,ptp_uV,peak_uV,latency_ms,duration_ms,ttmin_ms,ttmax_ms,delay_ms,speed_ms,filter,t_pre_s,t_post_s
6,-4464.0,-5273.834017250948,36.21824196213705,182.2962446747648,125.25422318420394,-1.0,20.96666666666667,8.833333333333336,4.4,9.833334087108549,0.42999142948199714,IB2,0.001,0.02
7,-2737.834017250948,-5273.834017250948,78.53320177434702,528.0972103249032,279.8798665879403,2.966666666666667,17.0,5.566666666666666,4.266666666666667,6.5666671700352,0.8797983764778445,IB2,0.001,0.02
8,-1011.6680345018963,-5273.834017250948,189.7202230554565,1177.8944577528418,817.3003230312928,3.4666666666666663,5.733333333333333,5.4,4.133333333333334,6.400000490592683,1.8793594020896507,IB2,0.001,0.02
9,714.4979482471554,-5273.834017250948,209.65463176932045,1334.5703361767455,936.1273527854055,3.566666666666667,5.400000000000001,5.200000000000001,6.833333333333335,6.200000475261661,1.9202612088619195,IB2,0.001,0.02
10,2440.6639309962075,-5273.834017250948,135.2247493493068,831.4741840164113,512.3249471889558,4.066666666666667,5.366666666666668,5.066666666666667,6.800000000000001,6.066667131707647,2.19124077726944,IB2,0.001,0.02
11,4166.82991374526,-5273.834017250948,59.289047331063124,417.4642150545023,223.32739489225457,3.4666666666666663,6.000000000000002,5.033333333333333,6.4,6.033333795819144,1.9527527079221747,IB2,0.001,0.02
12,-4464.0,-3547.6680345018963,27.41610183256248,96.50101238776382,49.91578404046929,-1.0,20.96666666666667,3.4333333333333336,5.1000000000000005,4.433333673170973,0.5900581571709907,IB2,0.001,0.02
13,-2737.834017250948,-3547.6680345018963,65.6073451211609,415.5051835939184,283.42697666690344,3.566666666666667,4.166666666666668,6.3,4.933333333333334,7.300000559582279,1.0578268168716556,IB2,0.001,0.02
14,-1011.6680345018963,-3547.6680345018963,119.538980077714,795.4725242843841,493.21232750722885,3.5333333333333337,5.233333333333332,6.133333333333334,4.566666666666666,7.1333338801397606,2.2835701651245306,IB2,0.001,0.02
15,714.4979482471554,-3547.6680345018963,201.8760483164944,1198.3811090144022,935.6664786817249,3.7333333333333334,4.7666666666666675,5.933333333333334,4.333333333333334,6.93333386480874,2.4243749269622965,IB2,0.001,0.02
16,2440.6639309962075,-3547.6680345018963,166.93058023912627,955.1054341746676,732.4616379462732,3.8666666666666667,5.033333333333335,5.733333333333333,7.566666666666666,6.733333849477718,2.250977434535111,IB2,0.001,0.02
17,4166.82991374526,-3547.6680345018963,79.96419213417624,457.62945557777374,338.8084567439936,3.7666666666666675,7.1,5.9,7.466666666666668,6.900000528920237,1.9928277130489518,IB2,0.001,0.02
18,-4464.0,-1821.5020517528446,25.558216956758265,119.67643563155417,70.00360325402282,-1.0,20.96666666666667,7.666666666666666,5.800000000000001,8.666667331010924,0.8261888934598932,IB2,0.001,0.02
19,-2737.834017250948,-1821.5020517528446,46.5498046730756,261.929084361923,206.25212590678055,3.4000000000000004,5.433333333333335,7.400000000000001,5.866666666666667,8.400000643902896,2.253298962027471,IB2,0.001,0.02
20,-1011.6680345018963,-1821.5020517528446,92.24517577618876,574.1635377290786,314.58841542772313,3.366666666666667,5.066666666666667,6.866666666666668,5.166666666666667,7.86666726968684,2.156761384862842,IB2,0.001,0.02
21,714.4979482471554,-1821.5020517528446,129.80419528261086,854.7165334971227,472.6139896040398,3.5333333333333337,5.333333333333335,6.566666666666666,5.0,7.566667246690307,2.538950946974125,IB2,0.001,0.02
